timestamp,bpm,complexity,preset,chord_progression,output_filename,number_of_events
2026-05-16T15:17:03.718646,135,3,Cognitive Stimulation,C G Am F,output_135_c3_20260516_151703.mid,108
2026-05-21T17:54:50.573369,70,1,Relaxation,C G Am F,output_70_c1_20260521_175450.mid,32
2026-05-21T17:54:55.967116,60,1,Batch,C G Am F,output_60_c1_20260521_175455.mid,32
2026-05-21T17:54:55.971719,60,2,Batch,C G Am F,output_60_c2_20260521_175455.mid,68
2026-05-21T17:54:55.978810,60,3,Batch,C G Am F,output_60_c3_20260521_175455.mid,108
2026-05-21T17:54:55.981752,80,1,Batch,C G Am F,output_80_c1_20260521_175455.mid,32
2026-05-21T17:54:55.985321,80,2,Batch,C G Am F,output_80_c2_20260521_175455.mid,68
2026-05-21T17:54:55.990537,80,3,Batch,C G Am F,output_80_c3_20260521_175455.mid,108
2026-05-21T17:54:55.992720,100,1,Batch,C G Am F,output_100_c1_20260521_175455.mid,32
2026-05-21T17:54:55.995582,100,2,Batch,C G Am F,output_100_c2_20260521_175455.mid,68
2026-05-21T17:54:55.999327,100,3,Batch,C G Am F,output_100_c3_20260521_175455.mid,108
2026-05-21T17:54:56.000518,120,1,Batch,C G Am F,output_120_c1_20260521_175455.mid,32
2026-05-21T17:54:56.002940,120,2,Batch,C G Am F,output_120_c2_20260521_175456.mid,68
2026-05-21T17:54:56.007812,120,3,Batch,C G Am F,output_120_c3_20260521_175456.mid,108
2026-05-21T17:54:56.009541,140,1,Batch,C G Am F,output_140_c1_20260521_175456.mid,32
2026-05-21T17:54:56.011600,140,2,Batch,C G Am F,output_140_c2_20260521_175456.mid,68
2026-05-21T17:54:56.015184,140,3,Batch,C G Am F,output_140_c3_20260521_175456.mid,108
2026-05-21T18:26:33.918405,110,2,Motor Synchronization,C G Am F,output_110_c2_20260521_182633.mid,68
2026-05-21T18:27:17.982575,110,2,Motor Synchronization,E G A F,output_110_c2_20260521_182717.mid,68
2026-05-21T18:29:30.264649,60,1,Batch,C G Am F,output_60_c1_20260521_182930.mid,32
2026-05-21T18:29:30.269422,60,2,Batch,C G Am F,output_60_c2_20260521_182930.mid,68
2026-05-21T18:29:30.274792,60,3,Batch,C G Am F,output_60_c3_20260521_182930.mid,108
2026-05-21T18:29:30.277066,80,1,Batch,C G Am F,output_80_c1_20260521_182930.mid,32
